Code,Script,Glottocode,Name,Notes,Family,Subfamily_1,Subfamily_2,Full_Classification,Minimal Full Classification,Language,Code_orig,Sentences,Total patches,Total bytes,Avg b/patch,Avg patches/sent,Premium vs EN
bho,Deva,bhoj1244,Bhojpuri,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari > Magadhan > Bhojpuric,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari > Bhojpuric,Bhojpuri,bho_Deva,997,77132,310444,4.0248,77.3641,3.1919
bjn,Arab,banj1239,Banjar (Jawi script),,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > East Borneo Malay > Banjar-Berau-Brunei Malay > Banjar-Bukit Malay,Austronesian > Malayo-Chamic > Malayic > East Borneo Malay,Banjar (Arabic),bjn_Arab,997,82926,211916,2.5555,83.1755,3.4317
bjn,Latn,banj1239,Banjar (Latin script),,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > East Borneo Malay > Banjar-Berau-Brunei Malay > Banjar-Bukit Malay,Austronesian > Malayo-Chamic > Malayic > East Borneo Malay,Banjar (Latin),bjn_Latn,997,72003,132177,1.8357,72.2197,2.9796
bod,Tibt,utsa1239,Lhasa Tibetan,,Sino-Tibetan,Bodic,Bodish,Sino-Tibetan > Bodic > Bodish > Early Old Tibetan > Middle Old Tibetan > Late Old Tibetan > Central Tibetan > Tibetan > Ü,Sino-Tibetan > Bodic > Central Tibetan,Tibetan,bod_Tibt,997,105083,418753,3.985,105.3992,4.3486
bos,Latn,bosn1245,Bosnian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian,Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian,Bosnian,bos_Latn,997,63676,130083,2.0429,63.8676,2.6351
brx,Deva,bodo1269,Bodo,dev only,Sino-Tibetan,Brahmaputran,Bodo-Garo,Sino-Tibetan > Brahmaputran > Bodo-Garo > Boroic > Tiwa-Boro > Bodo-Mech-Kachari,Sino-Tibetan > Brahmaputran > Bodo-Garo,Bodo,brx_Deva,997,91526,352347,3.8497,91.8014,3.7875
bug,Latn,bugi1244,Buginese,,Austronesian,Malayo-Polynesian,Greater South Sulawesi,Austronesian > Malayo-Polynesian > Greater South Sulawesi > South Sulawesi > Tamanic-Bugis > Bugis,Austronesian > Greater South Sulawesi,Buginese,bug_Latn,997,99317,138285,1.3924,99.6158,4.11
bul,Cyrl,bulg1262,Bulgarian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic > Macedo-Bulgarian,Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic,Bulgarian,bul_Cyrl,997,31035,237296,7.6461,31.1284,1.2843
cat,Latn,stan1289,Catalan,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance,Catalan,cat_Latn,997,46611,140954,3.0241,46.7513,1.9289
ceb,Latn,cebu1242,Cebuano,,Austronesian,Malayo-Polynesian,Greater Central Philippine,Austronesian > Malayo-Polynesian > Greater Central Philippine > Central Philippine > Bisayan,Austronesian > Greater Central Philippine > Bisayan,Cebuano,ceb_Latn,997,88592,150264,1.6961,88.8586,3.6661
ces,Latn,czec1258,Czech,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > West Slavic > Czech-Slovak,Indo-European > Balto-Slavic > Slavic > West Slavic > Czech-Slovak,Czech,ces_Latn,997,54486,135980,2.4957,54.6499,2.2547
chv,Cyrl,chuv1255,Chuvash,,Turkic,Bolgar,,Turkic > Bolgar,Turkic > Bolgar,Chuvash,chv_Cyrl,997,116378,241245,2.0729,116.7282,4.816
cjk,Latn,chok1245,Chokwe,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > Central-Western Bantu > Njila > Southern Njila > Chokwe-Lunda > Chokwe-Ngangela-Nyemba (K.20) > Chokwe-Lwena,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Central-Western Bantu > Njila > Southern Njila > Chokwe-Lunda,Chokwe,cjk_Latn,997,100230,136284,1.3597,100.5316,4.1477
ckb,Arab,cent1972,Central Kurdish,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian > Central Iranian PBS > Central Iranian PB > Northwestern Iranian > Laki-Kurdish > Kurdish,Indo-European > Indo-Iranian > Iranian-Nuristani > Central Iranian PBS,Central Kurdish,ckb_Arab,997,117853,232262,1.9708,118.2076,4.877
cmn,Hans,beij1234,Mandarin Chinese (Standard Beijing),,Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Sino-Tibetan > Sinitic > Classical-Middle-Modern Sinitic > Middle-Modern Sinitic > Northern Chinese > Mandarinic > Mandarin Chinese > Beijingic,Sino-Tibetan > Sinitic > Northern Chinese,Chinese (Simplified),cmn_Hans,997,63249,117254,1.8538,63.4393,2.6174
cmn,Hant,taib1240,Mandarin Chinese (Taiwanese),,Sino-Tibetan,Sinitic,Classical-Middle-Modern Sinitic,Sino-Tibetan > Sinitic > Classical-Middle-Modern Sinitic > Middle-Modern Sinitic > Northern Chinese > Mandarinic > Mandarin Chinese > Beijingic,Sino-Tibetan > Sinitic > Northern Chinese,Chinese (Traditional),cmn_Hant,997,63381,111458,1.7585,63.5717,2.6228
crh,Latn,crim1257,Crimean Tatar,,Turkic,Common Turkic,Kipchak-Turkestan,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > West Kipchak > Crimean Tatar-Urum > Crimeaic,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > West Kipchak,Crimean Tatar,crh_Latn,997,94680,141842,1.4981,94.9649,3.9181
cym,Latn,wels1247,Welsh,,Indo-European,Classical Indo-European,Celtic,Indo-European > Classical Indo-European > Celtic > Nuclear Celtic > Core Celtic > Insular Celtic > Brythonic > Old-Modern Welsh,Indo-European > Celtic > Brythonic,Welsh,cym_Latn,997,118752,134117,1.1294,119.1093,4.9142
dan,Latn,dani1285,Danish,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > North Germanic > South Scandinavian,Indo-European > Germanic > North Germanic > South Scandinavian,Danish,dan_Latn,997,55561,131700,2.3704,55.7282,2.2992
dar,Cyrl,darg1241,Dargwa,dev only,Nakh-Daghestanian,Daghestanian,Dargwic,Nakh-Daghestanian > Daghestanian > Dargwic,Nakh-Daghestanian,Dargwa,dar_Cyrl,997,89079,268396,3.013,89.347,3.6863
deu,Latn,stan1295,German,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Upper German > Middle-Modern High German > Modern High German > Upper Franconian > Global German,Indo-European > Germanic > West Germanic > High German > Upper German,German,deu_Latn,997,40170,148936,3.7076,40.2909,1.6623
dgo,Deva,dogr1250,Dogri,dev only,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Himachali > Kangric-Chamealic-Bhattiyali > Kangri-Dogri,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Eastern Dardic > Himachali,Dogri,dgo_Deva,997,84635,341326,4.0329,84.8897,3.5024
dik,Latn,sout2832,Southwestern Dinka,,Nilotic,Western Nilotic,Dinka-Nuer,Nilotic > Western Nilotic > Dinka-Nuer > Dinka,Nilotic > Dinka-Nuer > Dinka,Southwestern Dinka,dik_Latn,997,101811,121595,1.1943,102.1174,4.2132
dyu,Latn,dyul1238,Dyula,,Mande,Western Mande,Manding-Kpelle,Mande > Western Mande > Manding-Kpelle > Central Mande > Manding-Jogo > Manding-Vai > Manding-Mokole > Manding > East Manding,Mande,Dyula,dyu_Latn,997,109241,134515,1.2314,109.5697,4.5206
