Code,Script,Glottocode,Name,Notes,Family,Subfamily_1,Subfamily_2,Full_Classification,Minimal Full Classification,Language,Code_orig,Sentences,Script_Name,Script_Type,Script_Tier,Bytes_Per_Char,cc_pages,cc_urls,prem_raw_entropy_t_1.1904,prem_raw_entropy_t_1.3340,prem_raw_entropy_t_1.4946,prem_raw_entropy_t_1.7988,prem_raw_monotonicity_t_0.2359,prem_raw_monotonicity_t_0.3662,prem_raw_monotonicity_t_0.5928,prem_raw_monotonicity_t_0.9496,prem_raw_combined_t_0.2359,prem_raw_combined_t_0.3662,prem_raw_combined_t_0.5928,prem_raw_combined_t_0.9496,prem_norm_entropy_t_0.4072,prem_norm_entropy_t_0.5293,prem_norm_entropy_t_0.7222,prem_norm_entropy_t_1.0371,prem_norm_monotonicity_t_0.2480,prem_norm_monotonicity_t_0.3887,prem_norm_monotonicity_t_0.6260,prem_norm_monotonicity_t_1.0039,prem_norm_combined_t_0.2480,prem_norm_combined_t_0.3887,prem_norm_combined_t_0.6260,prem_norm_combined_t_1.0039
hau,Latn,haus1257,Hausa,,Afro-Asiatic,Chadic,West Chadic,Afro-Asiatic > Chadic > West Chadic > West Chadic A > West Chadic A.1,Afro-Asiatic > Chadic,Hausa,hau_Latn,997,Latin,Alphabet,1,1 byte,4487502,4460085,3.4406,3.7359,4.0897,4.5089,1.7294,1.725,1.6133,1.195,2.5813,2.409,2.0522,1.3143,1.4293,1.3574,1.2205,1.0043,1.7787,1.8063,1.7784,1.5684,1.6642,1.6397,1.5565,1.2876
heb,Hebr,hebr1245,Hebrew,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Northwest Semitic > Canaanite > Hebrewic,Afro-Asiatic > Semitic > Central Semitic > Northwest Semitic,Hebrew,heb_Hebr,997,Hebrew,Abjad,2,2 bytes,461968429,458572341,2.431,2.5389,2.7781,3.3498,2.271,2.4651,2.7832,3.3403,3.4023,3.463,3.5732,3.7148,2.1374,2.2925,2.4689,2.2166,2.259,2.4519,2.7513,3.2506,3.164,3.2355,3.3544,3.499
hin,Deva,hind1269,Hindi,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Indo-Aryan Central zone > Western Hindi > Hindustani,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Indo-Aryan Central zone,Hindi,hin_Deva,997,Devanagari,Abugida,3,3 bytes,297818592,296664138,2.705,2.845,3.0352,3.1726,3.628,3.7678,3.7704,3.626,3.9004,3.9763,4.1148,3.9575,2.5008,2.5911,2.6492,2.7297,3.5999,3.7192,3.5517,3.4769,3.553,3.6346,3.7663,3.7423
hne,Deva,chha1249,Chhattisgarhi,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi,Chhattisgarhi,hne_Deva,997,Devanagari,Abugida,3,3 bytes,,,2.6651,2.8344,3.0586,3.2453,3.4873,3.6315,3.6598,3.6757,3.9045,3.9844,4.1258,4.0176,2.4812,2.5757,2.6411,2.7301,3.4551,3.5737,3.433,3.4958,3.5353,3.6171,3.7511,3.771
hrv,Latn,croa1245,Croatian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian,Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian,Croatian,hrv_Latn,997,Latin,Alphabet,1,1 byte,398007249,395925092,2.4978,2.5689,2.6236,2.5574,1.4034,1.3926,1.3285,1.2277,1.9003,1.7871,1.5881,1.3208,1.1942,1.1515,1.068,0.9543,1.4117,1.402,1.3487,1.2582,1.2674,1.2456,1.1939,1.0899
hun,Latn,hung1274,Hungarian,,Uralic,Hungaric,,Uralic > Hungaric,Uralic > Hungaric,Hungarian,hun_Latn,997,Latin,Alphabet,1,1 byte,1075637261,1069342197,2.4332,2.4709,2.4857,2.3215,1.5559,1.5593,1.5238,1.4399,2.0062,1.9144,1.7534,1.5168,1.3799,1.3333,1.247,1.097,1.5559,1.5585,1.5229,1.4372,1.4503,1.422,1.3509,1.2264
hye,Armn,nucl1235,Armenian,,Indo-European,Classical Indo-European,Armenic,Indo-European > Classical Indo-European > Armenic > Eastern-Western Armenian,Indo-European > Armenic,Armenian,hye_Armn,997,Armenian,Alphabet,2,2 bytes,65590629,65263010,4.8234,4.8211,4.888,4.9006,3.3615,3.5378,3.7613,4.0277,4.9155,4.8899,4.8023,4.4797,2.6325,2.7399,2.8148,2.4641,3.3593,3.5367,3.7568,4.0214,3.7361,3.8097,3.9093,3.9351
ibo,Latn,nucl1417,Igbo,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Igboid > Nuclear Igboid > Central-Northern Igbo,Atlantic-Congo > Volta-Congo > Benue-Congo > Igboid,Igbo,ibo_Latn,997,Latin,Alphabet,1,1 byte,1053902,1050050,3.5502,3.8639,4.2738,4.9767,1.6838,1.6464,1.5144,1.2841,2.4751,2.2698,1.9077,1.4112,1.6504,1.5172,1.2693,0.9146,1.7106,1.6923,1.5941,1.4018,1.7066,1.6425,1.4774,1.1753
ilo,Latn,ilok1237,Ilocano,,Austronesian,Malayo-Polynesian,Northern Luzon,Austronesian > Malayo-Polynesian > Northern Luzon,Austronesian > Northern Luzon,Ilocano,ilo_Latn,997,Latin,Alphabet,1,1 byte,,,3.6347,3.9026,4.1816,4.4379,1.7951,1.7855,1.6502,1.288,2.6475,2.4675,2.0829,1.4165,1.6271,1.5441,1.3358,0.9349,1.8487,1.8771,1.8352,1.6214,1.8703,1.8415,1.7253,1.4046
ind,Latn,indo1316,Indonesian,,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > Standard Malay-Indonesian,Austronesian > Malayo-Chamic > Malayic > Standard Malay-Indonesian,Indonesian,ind_Latn,997,Latin,Alphabet,1,1 byte,1734815027,1724070898,2.0487,2.0395,2.0262,1.973,1.4391,1.4261,1.3639,1.2449,1.7353,1.66,1.5178,1.3036,1.2649,1.247,1.2038,1.0961,1.4221,1.3979,1.3223,1.1867,1.3885,1.3686,1.3094,1.1669
