Code,Script,Glottocode,Name,Notes,Family,Subfamily_1,Subfamily_2,Full_Classification
dik,Latn,sout2832,Southwestern Dinka,,Nilotic,Western Nilotic,Dinka-Nuer,Nilotic > Western Nilotic > Dinka-Nuer > Dinka
dyu,Latn,dyul1238,Dyula,,Mande,Western Mande,Manding-Kpelle,Mande > Western Mande > Manding-Kpelle > Central Mande > Manding-Jogo > Manding-Vai > Manding-Mokole > Manding > East Manding
dzo,Tibt,dzon1239,Dzongkha,,Sino-Tibetan,Bodic,Bodish,Sino-Tibetan > Bodic > Bodish > Early Old Tibetan > Middle Old Tibetan > Late Old Tibetan > Southern Tibetic > Dzongkhic > Nuclear Dzongkhic
ekk,Latn,esto1258,Estonian,,Uralic,Finnic,Coastal Finnic,Uralic > Finnic > Coastal Finnic > Neva > Central Finnic
ell,Grek,mode1248,Greek,,Indo-European,Classical Indo-European,Graeco-Phrygian,Indo-European > Classical Indo-European > Graeco-Phrygian > Greek > South Greek > Central Greek > Koineic Greek > Modern Koineic Greek > Nuclear Modern Greek
eng,Latn,stan1293,English,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > Later Anglic > Middle-Modern English > Macro-English
epo,Latn,espe1235,Esperanto,,Artificial Language,Esperantic,,Artificial Language > Esperantic
eus,Latn,basq1248,Basque,,,,,
ewe,Latn,ewee1241,Ewe,,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Gbe > Western Gbe > Eweic
fao,Latn,faro1244,Faroese,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > North Germanic > West Scandinavian > Icelandic-Faroese
fij,Latn,fiji1243,Fijian,,Austronesian,Malayo-Polynesian,Eastern Malayo-Polynesian,Austronesian > Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Central Pacific linkage > Tokalau Fijian > Eastern Fijian > Nuclear Eastern Fijian > Viwa-Lomaiviti-East Viti Levu
fil,Latn,fili1244,Filipino,,Austronesian,Malayo-Polynesian,Greater Central Philippine,Austronesian > Malayo-Polynesian > Greater Central Philippine > Central Philippine > Tagalogic > Tagalog-Filipino
fin,Latn,finn1318,Finnish,,Uralic,Finnic,Coastal Finnic,Uralic > Finnic > Coastal Finnic > Neva > North Finnic > Nuclear Finnish
fon,Latn,fonn1241,Fon,,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Atlantic-Congo > Volta-Congo > Kwa Volta-Congo > Gbe > Eastern Gbe > Fongbeic
fra,Latn,stan1290,French,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Oil > Central Oil > Macro-French > Global French
fur,Latn,east2271,Friulian,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance > Friulian
fuv,Latn,nige1253,Nigerian Fulfulde,,Atlantic-Congo,North-Central Atlantic,Fula-Sereer,Atlantic-Congo > North-Central Atlantic > Fula-Sereer > Fula > Eastern Fula
gaz,Latn,west2721,West Central Oromo,,Afro-Asiatic,Cushitic,East Cushitic,Afro-Asiatic > Cushitic > East Cushitic > Lowland East Cushitic > Southern Lowland East Cushitic > Mainstream Lowland East Cushitic > Oromoid > Nuclear Oromo
gla,Latn,scot1245,Scottish Gaelic,,Indo-European,Classical Indo-European,Celtic,Indo-European > Classical Indo-European > Celtic > Nuclear Celtic > Core Celtic > Insular Celtic > Goidelic > Modern Goidelic > Eastern Goidelic
gle,Latn,iris1253,Irish,,Indo-European,Classical Indo-European,Celtic,Indo-European > Classical Indo-European > Celtic > Nuclear Celtic > Core Celtic > Insular Celtic > Goidelic > Modern Goidelic
glg,Latn,gali1258,Galician,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Galician Romance
gom,Deva,goan1235,Goan Konkani,dev only,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Southern zone > Marathic > Marathi-Konkani
gug,Latn,para1311,Paraguayan Guaraní,,Tupian,Eastern Tupian,Maweti-Guarani,Tupian > Eastern Tupian > Maweti-Guarani > Aweti-Guarani > Tupi-Guarani > Southern Tupi-Guarani > Tupi-Guarani Subgroup I > Tupi-Guarani Subgroup I.A > Paraguay-Brazil Guarani
guj,Gujr,guja1252,Gujarati,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Apabhramsic > Gujarati-Rajasthani > Gujaratic
hat,Latn,hait1244,Haitian Creole,,Indo-European,Classical Indo-European,Italic,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Northwestern Shifted Romance > Gallo-Rhaetian > Oil > Central Oil > Macro-French > Circum-Caribbean French
hau,Latn,haus1257,Hausa,,Afro-Asiatic,Chadic,West Chadic,Afro-Asiatic > Chadic > West Chadic > West Chadic A > West Chadic A.1
heb,Hebr,hebr1245,Hebrew,,Afro-Asiatic,Semitic,West Semitic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Northwest Semitic > Canaanite > Hebrewic
hin,Deva,hind1269,Hindi,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Indo-Aryan Central zone > Western Hindi > Hindustani
hne,Deva,chha1249,Chhattisgarhi,,Indo-European,Classical Indo-European,Indo-Iranian,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi
hrv,Latn,croa1245,Croatian,,Indo-European,Classical Indo-European,Balto-Slavic,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian
hun,Latn,hung1274,Hungarian,,Uralic,Hungaric,,Uralic > Hungaric
hye,Armn,nucl1235,Armenian,,Indo-European,Classical Indo-European,Armenic,Indo-European > Classical Indo-European > Armenic > Eastern-Western Armenian
ibo,Latn,nucl1417,Igbo,,Atlantic-Congo,Volta-Congo,Benue-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Igboid > Nuclear Igboid > Central-Northern Igbo
ilo,Latn,ilok1237,Ilocano,,Austronesian,Malayo-Polynesian,Northern Luzon,Austronesian > Malayo-Polynesian > Northern Luzon
ind,Latn,indo1316,Indonesian,,Austronesian,Malayo-Polynesian,Malayo-Chamic,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > Standard Malay-Indonesian
isl,Latn,icel1247,Icelandic,,Indo-European,Classical Indo-European,Germanic,Indo-European > Classical Indo-European > Germanic > Northwest Germanic > North Germanic > West Scandinavian > Icelandic-Faroese
