lang_code,t_0.2359,t_0.3662,t_0.5928,t_0.9496
cjk_Latn,1.6892,1.6683,1.518,1.0978
ckb_Arab,2.3331,2.0426,1.4676,0.7616
cmn_Hans,1.5005,1.551,1.5771,1.5231
cmn_Hant,1.4699,1.5181,1.5518,1.5357
crh_Latn,1.6602,1.6751,1.6471,1.4641
cym_Latn,1.3435,1.2558,1.0708,0.8024
dan_Latn,1.3562,1.3493,1.3049,1.2565
dar_Cyrl,3.3387,3.342,3.1164,2.3671
deu_Latn,1.409,1.4091,1.3887,1.3769
dgo_Deva,3.8001,3.9498,3.9482,3.9369
dik_Latn,1.3969,1.369,1.2429,0.9469
dyu_Latn,1.5958,1.5469,1.3704,0.9458
dzo_Tibt,6.4359,6.5428,6.4029,5.7465
ekk_Latn,1.3842,1.3248,1.181,0.895
ell_Grek,3.3971,3.5025,3.4908,3.0883
eng_Latn,1.0,1.0,1.0,1.0
epo_Latn,1.4546,1.436,1.3341,1.0778
eus_Latn,1.4443,1.3858,1.2287,0.8962
ewe_Latn,1.5028,1.4292,1.2304,0.9191
fao_Latn,1.5011,1.4249,1.2649,1.0129
fij_Latn,1.8646,1.8496,1.7062,1.2981
fil_Latn,1.802,1.8421,1.8298,1.6541
fin_Latn,1.4947,1.4705,1.3867,1.2514
fon_Latn,1.7272,1.6606,1.4772,1.168
fra_Latn,1.3848,1.3833,1.3428,1.2827
fur_Latn,1.5789,1.5677,1.4684,1.2283
fuv_Latn,1.4847,1.4709,1.3675,1.0288
gaz_Latn,1.7482,1.7189,1.5813,1.1631
gla_Latn,1.7665,1.6966,1.5034,1.0885
gle_Latn,1.6361,1.5594,1.3553,0.9571
glg_Latn,1.4555,1.4378,1.3625,1.2469
gom_Deva,3.5521,3.6897,3.7787,3.8067
gug_Latn,1.5488,1.4663,1.2683,0.9358
guj_Gujr,3.8313,3.9585,4.0436,3.9024
hat_Latn,1.3451,1.3177,1.2074,0.9197
hau_Latn,1.7294,1.725,1.6133,1.195
heb_Hebr,2.271,2.4651,2.7832,3.3403
hin_Deva,3.628,3.7678,3.7704,3.626
hne_Deva,3.4873,3.6315,3.6598,3.6757
hrv_Latn,1.4034,1.3926,1.3285,1.2277
hun_Latn,1.5559,1.5593,1.5238,1.4399
hye_Armn,3.3615,3.5378,3.7613,4.0277
ibo_Latn,1.6838,1.6464,1.5144,1.2841
ilo_Latn,1.7951,1.7855,1.6502,1.288
ind_Latn,1.4391,1.4261,1.3639,1.2449
isl_Latn,1.4688,1.3842,1.2033,0.9255
ita_Latn,1.4432,1.4119,1.3258,1.2236
jav_Latn,1.5413,1.548,1.4931,1.2275
jpn_Jpan,1.8852,1.8668,1.7539,1.5501
kab_Latn,1.4533,1.398,1.2406,0.9557
kac_Latn,1.9377,1.9448,1.8316,1.4277
kam_Latn,1.4937,1.4541,1.3016,0.9663
kan_Knda,4.3525,4.4329,4.4106,4.2952
kas_Arab,2.3947,2.2191,1.7734,1.0523
kas_Deva,3.4175,3.5916,3.6637,3.7096
kat_Geor,3.4324,3.7432,4.2555,5.1885
kaz_Cyrl,2.8549,2.7909,2.4911,1.7544
kbp_Latn,1.981,1.8806,1.6206,1.1817
kea_Latn,1.4843,1.4685,1.3584,1.0864
khk_Cyrl,2.9884,3.0245,2.8867,2.2567
khm_Khmr,6.0064,5.7504,5.2211,5.719
kik_Latn,1.782,1.6745,1.4278,1.0352
kin_Latn,1.7451,1.7166,1.5383,1.0915
kir_Cyrl,2.895,2.8788,2.6519,1.9519
kjh_Cyrl,3.0332,2.9739,2.6623,1.9219
kmb_Latn,1.7379,1.726,1.5797,1.1415
kmr_Latn,1.5991,1.5544,1.3918,1.009
knc_Arab,2.6466,2.7604,2.8652,2.7588
knc_Latn,1.5973,1.5557,1.4062,1.096
kor_Hang,1.8233,1.8205,1.7337,1.4892
ktu_Latn,1.8275,1.8114,1.6594,1.2253
lao_Laoo,4.9005,4.885,4.7855,5.1251
lij_Latn,1.6371,1.6184,1.5147,1.2831
lim_Latn,1.542,1.5407,1.4778,1.3334
lin_Latn,1.697,1.6799,1.5432,1.1579
lit_Latn,1.4823,1.4167,1.2388,0.9341
lld_Latn,1.5482,1.5247,1.3887,1.1067
lld_Latn_gard1241,1.5689,1.5438,1.4071,1.1451
lmo_Latn,1.6585,1.6431,1.542,1.3127
ltg_Latn,1.4197,1.3621,1.2055,0.907
ltz_Latn,1.5649,1.5431,1.4678,1.3682
lua_Latn,1.7064,1.6943,1.5419,1.0945
lug_Latn,1.5648,1.545,1.3923,0.9621
luo_Latn,1.584,1.5823,1.4989,1.1487
lus_Latn,1.6076,1.6019,1.4902,1.12
lvs_Latn,1.5156,1.4841,1.3495,1.0639
mag_Deva,3.5185,3.6736,3.7288,3.6378
mai_Deva,3.5793,3.73,3.8018,3.8244
mal_Mlym,4.9732,5.0108,4.8445,4.627
mar_Deva,3.7108,3.8447,3.9316,3.9112
mfe_Latn,1.3209,1.3188,1.2442,1.0086
mhr_Cyrl,2.9474,2.9488,2.7587,2.1194
min_Arab,2.6055,2.5362,2.2539,1.4882
min_Latn,1.5652,1.5826,1.5337,1.2793
mkd_Cyrl,2.8255,2.7646,2.4962,1.904
mlt_Latn,1.6419,1.6017,1.4499,1.0633
mni_Beng,3.9741,4.0886,4.1779,4.1475
mni_Mtei,3.3342,3.54,3.8297,4.3093
mos_Latn,1.5361,1.4878,1.3222,0.9866
mri_Latn,1.7923,1.8047,1.7162,1.3273
mya_Mymr,4.2065,4.576,5.1719,6.2626
myv_Cyrl,3.0997,3.1257,2.9436,2.2172
nld_Latn,1.4338,1.4432,1.4204,1.3964
nno_Latn,1.3857,1.3757,1.3202,1.2447
nob_Latn,1.3054,1.2956,1.2525,1.2136
nob_Latn_radical,1.3154,1.3058,1.2614,1.212
npi_Deva,3.6276,3.7547,3.8121,3.7801
nqo_Nkoo,2.6983,2.2714,1.4356,0.7018
nso_Latn,1.7667,1.7056,1.5068,1.0931
nus_Latn,1.9263,1.8464,1.6212,1.1855
nya_Latn,1.6825,1.6368,1.4589,1.0277
