lang_code,t_1.1904,t_1.3340,t_1.4946,t_1.7988
nqo_Nkoo,7.9312,8.808,9.9796,12.34
nso_Latn,3.6745,3.9931,4.3771,4.899
nus_Latn,4.2627,4.6791,5.2196,6.2096
nya_Latn,3.5156,3.8178,4.1785,4.5686
oci_Latn,2.4676,2.488,2.4956,2.2993
oci_Latn_aran1260,2.9447,3.0418,3.1145,2.9667
ory_Orya,3.0666,3.1865,3.4068,3.8023
pag_Latn,2.9742,3.1982,3.4604,3.7312
pan_Guru,3.1365,3.2462,3.5383,4.1509
pap_Latn,3.0868,3.2971,3.5328,3.7481
pbt_Arab,4.8946,4.9193,4.6101,3.0065
pes_Arab,4.4795,4.4414,4.2489,2.9034
plt_Latn,3.8622,4.1906,4.5819,5.0763
pol_Latn,2.0691,2.0962,2.1164,2.0553
por_Latn,1.8108,1.8081,1.7933,1.6895
prs_Arab,4.3098,4.2576,4.0463,2.6845
quy_Latn,3.2349,3.4899,3.7887,4.102
ron_Latn,2.335,2.3939,2.448,2.3613
run_Latn,3.5356,3.8412,4.21,4.6277
rus_Cyrl,1.4283,1.3291,1.2711,1.1718
sag_Latn,3.3873,3.6505,3.944,4.2411
san_Deva,2.9146,3.0499,3.2461,3.414
sat_Olck,4.0651,4.2264,4.5524,5.3469
scn_Latn,3.0328,3.1899,3.351,3.3471
shn_Mymr,5.2927,5.1409,5.5158,6.5111
sin_Sinh,3.2745,3.4039,3.6809,4.2901
slk_Latn,2.7766,2.8954,3.0333,3.1099
slv_Latn,2.6405,2.7383,2.8249,2.7965
smo_Latn,3.6699,3.9788,4.3495,4.841
sna_Latn,3.5128,3.8194,4.1961,4.6533
snd_Arab,4.3806,4.3237,3.9555,3.2543
snd_Deva,2.8952,3.0783,3.3404,3.5742
som_Latn,3.6145,3.9361,4.3164,4.758
sot_Latn,3.768,4.0839,4.4485,4.8624
spa_Latn,1.7077,1.7048,1.7003,1.6141
srd_Latn,3.2876,3.4498,3.604,3.5909
srp_Cyrl,1.7825,1.6379,1.5005,1.308
ssw_Latn,3.5586,3.8725,4.2429,4.6814
sun_Latn,3.1079,3.3341,3.5638,3.6947
swe_Latn,2.0896,2.137,2.1729,2.0839
swh_Latn,3.2673,3.5407,3.8639,4.1371
szl_Latn,2.8935,3.047,3.217,3.3188
tam_Taml,3.1548,3.1691,3.3256,3.7114
taq_Latn,3.1851,3.48,3.8536,4.5152
taq_Tfng,4.0318,3.9875,4.0173,4.2594
tat_Cyrl,4.5981,4.6092,4.5371,3.9203
tel_Telu,3.1133,3.2716,3.5159,3.8299
tgk_Cyrl,4.7961,4.7339,4.5398,3.6322
tha_Thai,3.088,3.3274,3.6537,4.162
tir_Ethi,3.8407,4.1646,4.597,4.7023
tpi_Latn,3.5221,3.7709,4.063,4.3369
tsn_Latn,3.9417,4.2777,4.6827,5.1784
tso_Latn,3.7356,4.0447,4.4075,4.7596
tuk_Latn,3.6932,4.0337,4.4636,5.122
tum_Latn,4.0447,4.3827,4.7822,5.2141
tur_Latn,2.9954,3.1965,3.4184,3.547
twi_Latn_akua1239,3.3277,3.6345,4.0328,4.7154
twi_Latn_asan1239,3.4308,3.7513,4.1653,4.8911
tyv_Cyrl,4.6524,4.6083,4.4612,3.7889
uig_Arab,6.0034,6.2448,6.3044,5.0172
ukr_Cyrl,1.5451,1.4197,1.3288,1.2258
umb_Latn,3.2162,3.4972,3.8382,4.3089
urd_Arab,4.8608,4.859,4.5587,2.8
uzn_Latn,3.6183,3.952,4.3549,4.874
uzs_Arab,5.2238,5.3214,5.2811,3.8252
vec_Latn,2.7327,2.852,2.9657,2.9416
vie_Latn,1.9532,1.9451,1.9018,1.7308
vmw_Latn,3.7706,4.1022,4.5,5.0213
war_Latn,3.4192,3.5785,3.7165,3.7869
wol_Latn,3.1368,3.4247,3.7846,4.3244
wuu_Hans,2.5378,2.7109,2.9014,2.9282
xho_Latn,3.3747,3.6768,4.0571,4.5544
ydd_Hebr,3.4338,3.5722,3.8922,4.682
yor_Latn,3.9397,4.2911,4.745,5.5078
yue_Hant,2.4231,2.6023,2.8032,2.8811
zgh_Tfng,3.4312,3.4626,3.6765,4.2542
zsm_Latn,2.1619,2.155,2.1337,2.0749
zul_Latn,3.5419,3.856,4.2451,4.747
