Language                       Code               Sentences  Total patches  Total bytes  Avg b/patch  Avg patches/sent  Premium vs EN
Somali                         som_Latn                 997         113487       142420       1.2549          113.8285         4.6963
Georgian                       kat_Geor                 997         113798       372658       3.2747          114.1404         4.7092
Tsonga                         tso_Latn                 997         113849       151171       1.3278          114.1916         4.7113
Dzongkha                       dzo_Tibt                 997         114034       463530       4.0648          114.3771         4.7190
Latvian                        lvs_Latn                 997         114060       140378       1.2307          114.4032         4.7201
Amharic                        amh_Ethi                 997         114724       218396       1.9037          115.0692         4.7475
Ewe                            ewe_Latn                 997         115092       134720       1.1705          115.4383         4.7628
Asante Twi                     twi_Latn_asan1239        997         115120       137325       1.1929          115.4664         4.7639
Samoan                         smo_Latn                 997         115158       153273       1.3310          115.5045         4.7655
Lao                            lao_Laoo                 997         115578       344878       2.9839          115.9258         4.7829
Southern Sotho                 sot_Latn                 997         115926       151687       1.3085          116.2748         4.7973
Northern Uzbek                 uzn_Latn                 997         115930       141988       1.2248          116.2788         4.7974
Tigrinya                       tir_Ethi                 997         115941       220338       1.9004          116.2899         4.7979
Northern Sotho                 nso_Latn                 997         116258       148215       1.2749          116.6078         4.8110
Chuvash                        chv_Cyrl                 997         116378       241245       2.0729          116.7282         4.8160
Bemba                          bem_Latn                 997         116726       155724       1.3341          117.0772         4.8304
Kabyle                         kab_Latn                 997         117063       132753       1.1340          117.4152         4.8443
Igbo                           ibo_Latn                 997         117074       149769       1.2793          117.4263         4.8448
Modern Standard Arabic (Latin) arb_Latn                 997         117393       146403       1.2471          117.7462         4.8580
North Azerbaijani              azj_Latn                 997         117448       158394       1.3486          117.8014         4.8603
Armenian                       hye_Armn                 997         117766       257750       2.1887          118.1204         4.8734
Central Kurdish                ckb_Arab                 997         117853       232262       1.9708          118.2076         4.8770
Northern Kurdish               kmr_Latn                 997         118515       138907       1.1721          118.8716         4.9044
Welsh                          cym_Latn                 997         118752       134117       1.1294          119.1093         4.9142
Bashkir                        bak_Cyrl                 997         119022       233577       1.9625          119.3801         4.9254
Makhuwa                        vmw_Latn                 997         119453       147904       1.2382          119.8124         4.9432
West Central Oromo             gaz_Latn                 997         119675       151153       1.2630          120.0351         4.9524
Maltese                        mlt_Latn                 997         120218       145371       1.2092          120.5797         4.9749
Tosk Albanian                  als_Latn                 997         120562       151911       1.2600          120.9248         4.9891
Plateau Malagasy               plt_Latn                 997         120868       158252       1.3093          121.2317         5.0018
Turkmen                        tuk_Latn                 997         121078       146397       1.2091          121.4423         5.0105
Tswana                         tsn_Latn                 997         123376       157993       1.2806          123.7472         5.1056
Tumbuka                        tum_Latn                 997         124629       165550       1.3283          125.0040         5.1574
Santali                        sat_Olck                 997         125145       352168       2.8141          125.5216         5.1788
Uyghur                         uig_Arab                 997         129462       248124       1.9166          129.8516         5.3574
Yoruba                         yor_Latn                 997         129820       161334       1.2428          130.2106         5.3722
Meitei (Meitei Mayek)          mni_Mtei                 997         130403       323782       2.4829          130.7954         5.3964
Khmer                          khm_Khmr                 997         131592       427210       3.2465          131.9880         5.4456
Irish                          gle_Latn                 997         132352       154606       1.1681          132.7503         5.4770
Fon                            fon_Latn                 997         133828       158067       1.1811          134.2307         5.5381
Kikuyu                         kik_Latn                 997         134756       163569       1.2138          135.1615         5.5765
Scottish Gaelic                gla_Latn                 997         135417       161658       1.1938          135.8245         5.6039
Burmese                        mya_Mymr                 997         138500       443775       3.2042          138.9168         5.7314
Nuer                           nus_Latn                 997         145615       165666       1.1377          146.0532         6.0259
Kabiyè                         kbp_Latn                 997         148423       173445       1.1686          148.8696         6.1421
Shan                           shn_Mymr                 997         152634       496505       3.2529          153.0933         6.3163
N'Ko                           nqo_Nkoo                 997         287188       288510       1.0046          288.0522        11.8845
