Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,combined_t_0.0000_bpp,combined_t_0.0000_pps,combined_t_0.0000_pps_premium,combined_t_0.2812_bpp,combined_t_0.2812_pps,combined_t_0.2812_pps_premium,combined_t_0.6094_bpp,combined_t_0.6094_pps,combined_t_0.6094_pps_premium,combined_t_1.2188_bpp,combined_t_1.2188_pps,combined_t_1.2188_pps_premium,norm_entropy_t_0.5684_bpp,norm_entropy_t_0.5684_pps,norm_entropy_t_0.5684_pps_premium,norm_entropy_t_0.6758_bpp,norm_entropy_t_0.6758_pps,norm_entropy_t_0.6758_pps_premium,norm_entropy_t_0.8271_bpp,norm_entropy_t_0.8271_pps,norm_entropy_t_0.8271_pps_premium,norm_entropy_t_1.0859_bpp,norm_entropy_t_1.0859_pps,norm_entropy_t_1.0859_pps_premium,raw_entropy_t_1.9766_bpp,raw_entropy_t_1.9766_pps,raw_entropy_t_1.9766_pps_premium,raw_entropy_t_2.1064_bpp,raw_entropy_t_2.1064_pps,raw_entropy_t_2.1064_pps_premium,raw_entropy_t_2.2402_bpp,raw_entropy_t_2.2402_pps,raw_entropy_t_2.2402_pps_premium,raw_entropy_t_2.5039_bpp,raw_entropy_t_2.5039_pps,raw_entropy_t_2.5039_pps_premium,raw_monotonicity_t_0.5758_bpp,raw_monotonicity_t_0.5758_pps,raw_monotonicity_t_0.5758_pps_premium,raw_monotonicity_t_0.7146_bpp,raw_monotonicity_t_0.7146_pps,raw_monotonicity_t_0.7146_pps_premium,raw_monotonicity_t_0.9354_bpp,raw_monotonicity_t_0.9354_pps,raw_monotonicity_t_0.9354_pps_premium,raw_monotonicity_t_1.2951_bpp,raw_monotonicity_t_1.2951_pps,raw_monotonicity_t_1.2951_pps_premium
sout2697,azb,azb_Arab,997,,101494110.0,101070335.0,South Azerbaijani,Arab,Abjad,2 bytes,Turkic,Turkic > Common Turkic > Oghuz > Nuclear Oghuz > Central Oghuz,Turkic > Common Turkic > Oghuz > Central Oghuz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nort2697,azj,azj_Latn,997,,101494110.0,101070335.0,North Azerbaijani,Latn,Alphabet,1 byte,Turkic,Turkic > Common Turkic > Oghuz > Nuclear Oghuz > Central Oghuz,Turkic > Common Turkic > Oghuz > Central Oghuz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bash1264,bak,bak_Cyrl,997,,3656842.0,3651302.0,Bashkir,Cyrl,Alphabet,2 bytes,Turkic,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > North Kipchak > Bashkiric,Turkic > Common Turkic > Kipchak-Turkestan > Kipchak > Northwest Kipchak > North Kipchak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamb1269,bam,bam_Latn,997,,,,Bambara,Latn,Alphabet,1 byte,Mande,Mande > Western Mande > Manding-Kpelle > Central Mande > Manding-Jogo > Manding-Vai > Manding-Mokole > Manding > East Manding,Mande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bali1278,ban,ban_Latn,997,,,,Balinese,Latn,Alphabet,1 byte,Austronesian,Austronesian > Malayo-Polynesian > Bali-Sasak-Sumbawa,Austronesian > Bali-Sasak-Sumbawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bela1254,bel,bel_Cyrl,997,,33213142.0,33052697.0,Belarusian,Cyrl,Alphabet,2 bytes,Indo-European,Indo-European > Classical Indo-European > Balto-Slavic > Slavic > East Slavic,Indo-European > Balto-Slavic > Slavic > East Slavic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bemb1257,bem,bem_Latn,997,,,,Bemba,Latn,Alphabet,1 byte,Atlantic-Congo,Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > Southern Bantoid > Narrow Bantu > East Bantu > Sabi > Malungu-Central Sabi > Central Sabi > Bemba (M.40),Atlantic-Congo > Volta-Congo > Benue-Congo > Bantoid > East Bantu > Sabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beng1280,ben,ben_Beng,997,,177892101.0,177246797.0,Bengali,Beng,Abugida,3 bytes,Indo-European,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Oriya-Gauda-Kamrupa > Gauda-Kamrupa > Gauda-Banga,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Gauda-Kamrupa > Gauda-Banga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bhoj1244,bho,bho_Deva,997,,,,Bhojpuri,Deva,Abugida,3 bytes,Indo-European,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari > Magadhan > Bhojpuric,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Bihari > Bhojpuric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banj1239,bjn,bjn_Arab,997,,,,Banjar (Jawi script),Arab,Abjad,2 bytes,Austronesian,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > East Borneo Malay > Banjar-Berau-Brunei Malay > Banjar-Bukit Malay,Austronesian > Malayo-Chamic > Malayic > East Borneo Malay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banj1239,bjn,bjn_Latn,997,,,,Banjar (Latin script),Latn,Alphabet,1 byte,Austronesian,Austronesian > Malayo-Polynesian > Malayo-Chamic > Malayic > Nuclear Malayic > East Borneo Malay > Banjar-Berau-Brunei Malay > Banjar-Bukit Malay,Austronesian > Malayo-Chamic > Malayic > East Borneo Malay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utsa1239,bod,bod_Tibt,997,,2687733.0,2676577.0,Lhasa Tibetan,Tibt,Abugida,3 bytes,Sino-Tibetan,Sino-Tibetan > Bodic > Bodish > Early Old Tibetan > Middle Old Tibetan > Late Old Tibetan > Central Tibetan > Tibetan > Ü,Sino-Tibetan > Bodic > Central Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
