Glottocode,Code,Code_Orig,Sentences,Notes,CC_Pages,CC_Urls,Name,Script,Script_Type,Bytes_Per_Char,Family,Full_Classification,Minimal_Full_Classification,combined_t_0.0000_bpp,combined_t_0.0000_pps,combined_t_0.0000_pps_premium,combined_t_0.2578_bpp,combined_t_0.2578_pps,combined_t_0.2578_pps_premium,combined_t_0.4717_bpp,combined_t_0.4717_pps,combined_t_0.4717_pps_premium,combined_t_0.9434_bpp,combined_t_0.9434_pps,combined_t_0.9434_pps_premium,norm_entropy_t_0.4023_bpp,norm_entropy_t_0.4023_pps,norm_entropy_t_0.4023_pps_premium,norm_entropy_t_0.5293_bpp,norm_entropy_t_0.5293_pps,norm_entropy_t_0.5293_pps_premium,norm_entropy_t_0.7173_bpp,norm_entropy_t_0.7173_pps,norm_entropy_t_0.7173_pps_premium,norm_entropy_t_1.0322_bpp,norm_entropy_t_1.0322_pps,norm_entropy_t_1.0322_pps_premium,raw_entropy_t_1.2041_bpp,raw_entropy_t_1.2041_pps,raw_entropy_t_1.2041_pps_premium,raw_entropy_t_1.3340_bpp,raw_entropy_t_1.3340_pps,raw_entropy_t_1.3340_pps_premium,raw_entropy_t_1.5117_bpp,raw_entropy_t_1.5117_pps,raw_entropy_t_1.5117_pps_premium,raw_entropy_t_1.8193_bpp,raw_entropy_t_1.8193_pps,raw_entropy_t_1.8193_pps_premium,raw_monotonicity_t_0.2359_bpp,raw_monotonicity_t_0.2359_pps,raw_monotonicity_t_0.2359_pps_premium,raw_monotonicity_t_0.3662_bpp,raw_monotonicity_t_0.3662_pps,raw_monotonicity_t_0.3662_pps_premium,raw_monotonicity_t_0.5899_bpp,raw_monotonicity_t_0.5899_pps,raw_monotonicity_t_0.5899_pps_premium,raw_monotonicity_t_0.9439_bpp,raw_monotonicity_t_0.9439_pps,raw_monotonicity_t_0.9439_pps_premium
stan1318,arb,arb_Latn,997,,1258479625.0,1251265891.0,Modern Standard Arabic (Romanized),Latn,Alphabet,1 byte,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian,2.0381,72.0491,2.0124,2.4814,59.1775,1.8031,3.0082,48.8144,1.6039,5.1569,28.4754,1.2383,2.5977,56.5286,1.569,3.0355,48.3751,1.4745,4.0031,36.682,1.2791,6.7914,21.6219,0.9398,1.0925,134.4062,3.7299,1.1147,131.7382,4.0166,1.1579,126.8235,4.4335,1.2812,114.6148,4.9872,2.4142,60.8245,1.6884,2.7088,54.2106,1.6546,3.3641,43.6499,1.5298,5.1269,28.6419,1.2451
arag1245,arg,arg_Latn,997,,,,Aragonese,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Unshifted Western Romance,Indo-European > Italic > Italo-Western Romance > Western Romance > Unshifted Western Romance,2.3209,64.0512,1.789,2.7138,54.7773,1.669,3.1625,47.005,1.5444,4.7777,31.1143,1.3531,2.9654,50.1294,1.3914,3.3493,44.3842,1.3529,3.9855,37.2989,1.3007,5.3497,27.7874,1.2078,1.7587,84.5246,2.3456,1.9206,77.3992,2.3598,2.1946,67.7362,2.3679,2.9581,50.2538,2.1867,2.5888,57.4223,1.594,2.8776,51.659,1.5767,3.4841,42.666,1.4953,4.775,31.1314,1.3533
najd1235,ars,ars_Arab,997,,,,Najdi Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Arabian Peninsula Arabic > North Arabian Beduin Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Arabian Peninsula Arabic > North Arabian Beduin Arabic,1.9856,101.4634,2.8339,2.253,89.4233,2.7247,2.5754,78.2277,2.5703,4.0159,50.1685,2.1817,2.7719,72.682,2.0173,2.9685,67.8696,2.0687,3.4187,58.9318,2.055,5.1764,38.9208,1.6918,1.7606,114.4293,3.1755,2.0083,100.32,3.0587,2.4233,83.1374,2.9063,3.0535,65.9789,2.8709,2.2246,90.5637,2.514,2.3925,84.2096,2.5702,2.8382,70.986,2.4878,4.0171,50.1535,2.1802
moro1292,ary,ary_Arab,997,,,,Moroccan Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > North African Arabic > Western Middle Arabic > Maghrebi,Afro-Asiatic > Semitic > Central Semitic > Arabian > North African Arabic,1.9875,98.6229,2.7546,2.2487,87.1665,2.6559,2.5672,76.3511,2.5086,4.0241,48.7101,2.1183,2.743,71.4584,1.9834,2.9469,66.5135,2.0274,3.4031,57.5988,2.0085,5.2388,37.4152,1.6263,1.7126,114.4514,3.1761,1.9632,99.8425,3.0441,2.3686,82.7553,2.893,2.9954,65.4373,2.8473,2.2208,88.2628,2.4501,2.3921,81.9398,2.501,2.817,69.5827,2.4386,4.0259,48.6881,2.1165
egyp1253,arz,arz_Arab,997,,,,Egyptian Arabic,Arab,Abjad,2 bytes,Afro-Asiatic,Afro-Asiatic > Semitic > West Semitic > Central Semitic > Arabian > Arabic > Egyptic Arabic > Egypto-Sudanic Arabic,Afro-Asiatic > Semitic > Central Semitic > Arabian > Egyptic Arabic,1.991,98.7904,2.7592,2.2567,87.1585,2.6557,2.567,76.6209,2.5175,4.0522,48.5386,2.1108,2.7512,71.4905,1.9842,2.948,66.7202,2.0337,3.3918,57.989,2.0221,5.2232,37.657,1.6368,1.7381,113.1615,3.1403,1.9897,98.8556,3.014,2.403,81.8506,2.8613,3.0462,64.5677,2.8095,2.2276,88.2949,2.451,2.3915,82.2457,2.5103,2.8261,69.5978,2.4392,4.0532,48.5266,2.1095
assa1263,asm,asm_Beng,997,,3459776.0,3447449.0,Assamese,Beng,Abugida,3 bytes,Indo-European,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Oriya-Gauda-Kamrupa > Gauda-Kamrupa > Kamrupa > Eastern Kamrupa,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Indo-Aryan Eastern zone > Gauda-Kamrupa > Kamrupa,2.2533,143.2889,4.0021,2.4875,129.7994,3.9549,2.7582,117.0612,3.8462,3.6953,87.3741,3.7997,3.5021,92.1936,2.5589,3.6911,87.4744,2.6663,4.0536,79.651,2.7775,4.9802,64.8315,2.818,3.0895,104.5075,2.9002,3.2355,99.7894,3.0425,3.4334,94.0381,3.2874,3.9097,82.5827,3.5934,2.412,133.8606,3.7159,2.5897,124.675,3.8053,2.9165,110.7061,3.8799,3.6588,88.2457,3.8361
astu1245,ast,ast_Latn,997,,,,Asturian,Latn,Alphabet,1 byte,Indo-European,Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Asturo-Leonese,Indo-European > Italic > Italo-Western Romance > Western Romance > Shifted Western Romance > Southwestern Shifted Romance > West Ibero-Romance > Asturo-Leonese,2.3571,56.4925,1.5779,2.753,48.3691,1.4738,3.2008,41.6018,1.3669,4.7897,27.8014,1.209,2.9926,44.4965,1.235,3.3888,39.2939,1.1977,4.0545,32.8425,1.1453,5.4032,24.6449,1.0712,1.7794,74.8325,2.0767,1.9383,68.7001,2.0946,2.2122,60.1936,2.1042,2.9679,44.8666,1.9523,2.6218,50.7904,1.4099,2.9087,45.7803,1.3973,3.5356,37.663,1.32,4.7833,27.8385,1.2102
awad1243,awa,awa_Deva,997,,,,Awadhi,Deva,Abugida,3 bytes,Indo-European,Indo-European > Classical Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi > Awadhic,Indo-European > Indo-Iranian > Indo-Aryan > Middle-Modern Indo-Aryan > Continental Indo-Aryan > Midlands Indo-Aryan > Shaurasenic > Eastern Hindi > Awadhic,2.3725,133.5777,3.7309,2.5523,124.1635,3.7832,2.7417,115.5878,3.7978,3.7339,84.8736,3.691,3.4983,90.5888,2.5143,3.6833,86.0381,2.6225,4.0977,77.337,2.6968,5.0056,63.3109,2.7519,3.224,98.2959,2.7278,3.3582,94.3671,2.8772,3.5542,89.1645,3.117,4.1563,76.2467,3.3177,2.471,128.2508,3.5601,2.5973,122.015,3.7241,2.9408,107.7633,3.7767,3.6927,85.8205,3.7307
cent2142,ayr,ayr_Latn,997,,,,Central Aymara,Latn,Alphabet,1 byte,Aymaran,Aymaran > Central-Southern Aymara,Aymaran,2.0115,67.0211,1.8719,2.5073,53.7683,1.6383,3.1417,42.9107,1.4099,5.594,24.0993,1.048,2.5393,53.0913,1.4736,3.0524,44.1665,1.3462,4.3397,31.0652,1.0833,8.4972,15.8656,0.6896,1.1395,118.3059,3.2831,1.1666,115.5597,3.5233,1.2136,111.0873,3.8834,1.3479,100.013,4.3518,2.4372,55.3149,1.5355,2.7939,48.2528,1.4728,3.5725,37.7362,1.3225,5.578,24.1685,1.0506
sout2697,azb,azb_Arab,997,,101494110.0,101070335.0,South Azerbaijani,Arab,Abjad,2 bytes,Turkic,Turkic > Common Turkic > Oghuz > Nuclear Oghuz > Central Oghuz,Turkic > Common Turkic > Oghuz > Central Oghuz,1.9452,105.3631,2.9428,2.638,77.6931,2.3673,3.5617,57.5426,1.8907,7.7181,26.5547,1.1548,2.9736,68.9238,1.913,3.6414,56.2828,1.7156,4.8108,42.6018,1.4856,7.5716,27.0682,1.1766,1.2822,159.8445,4.4358,1.4069,145.676,4.4416,1.6824,121.8185,4.2585,3.1468,65.1294,2.8339,2.5509,80.344,2.2303,3.0503,67.1896,2.0508,4.2706,47.991,1.6819,7.7187,26.5527,1.1543
